guid,Tenant Name,Rent Amount,Tenant Screening Score,Tenant Screening Approved,Lease Start Date
76A7BA4C-7E0D-CDD6-A64C-FADA9A3E7ACA,Trevor Lang,1458,62,0,11/10/22
57E7580A-5662-D8CD-9A2E-6AE0C236BCA4,Lila Kelly,1898,98,1,08/02/22
CEB4CA54-7947-3CC6-A651-F69EC7313E6C,Signe Gross,1250,75,0,02/23/23
8EF5468B-517D-255C-9DCA-EC767BBBE4BB,Sebastian Steele,1334,95,1,11/07/22
B6390C35-5454-0546-8DA4-01C87330D159,Mona Mercer,1677,93,0,01/27/23
5896D1C8-494B-65A9-163A-2C99B8F881E9,Ulla Townsend,1751,76,0,08/28/22
8167E692-4D9A-D9CB-4ED4-E213736013C3,Edan Singleton,1997,69,1,11/10/22
B818AE33-1055-ACB6-293B-15CC905168DA,Randall Patterson,1686,64,1,01/24/23
9D66F1D5-1756-EBFC-0D9D-1ADB52A54D70,India Schwartz,1205,82,1,01/18/23
203DFE42-C2CC-56AA-3140-1762E94562A2,Elijah Boone,1836,87,0,02/07/23
6CF6B12D-C290-344F-B94D-CFA621CAE28A,Inga Terry,1495,80,1,12/08/22
AE9EE28C-84B6-E911-993B-323D0728C61B,Jeremy Hurley,1067,66,0,03/24/23
993C7B1A-CC9E-6112-6C54-4E9EACEA3826,Eleanor Merritt,1620,91,0,04/02/23
A13D66EC-83EA-1E83-7ED3-738C47AAF348,Zahir Patel,1652,78,0,01/11/23
692BA77A-0962-4311-E131-591A84061053,Kieran Camacho,1873,65,0,05/05/23
5BBBE767-B5E7-627A-F62B-66D8AA50EE61,Adria Charles,1389,84,0,11/07/22
DEF35864-B84A-7C97-AB17-DAB37BCD8434,Eaton Lawson,1046,73,1,09/17/22
AB88265B-3A17-AC0E-0B31-79DE75E3BDE8,Emerson Campos,1211,67,1,10/02/22
3817AA89-5879-9520-A789-2A78CB5D3965,Wyatt Marks,1672,97,1,06/29/23
2E7D928D-7D50-C72F-11E5-7EEC4A0AE1E9,Gannon Cabrera,1807,93,1,07/14/23
A5596EB1-FF3E-5564-ECD4-6C64DAE65A9D,Colleen Diaz,1222,82,0,01/22/23
49C5E31B-9123-7489-A69D-E6E22DE23540,Yael Patel,1632,85,1,05/11/23
E8DCCF57-AA48-23B4-5161-E1DBDC01382F,Zahir Page,1592,90,0,01/17/23
FDBC03AB-FCD5-2BC3-56D1-B7613FC17729,Ginger Sharp,1561,78,0,06/15/23
B86C69AC-D813-55A4-7686-D91CCEAE2415,Macaulay Pate,1633,66,1,11/23/22
D795A17D-1E2B-C549-77DA-1DC71743603F,Sasha Branch,1464,78,1,01/30/23
4C3A9A2D-7413-C14C-BBEB-3CE8DCE158AF,Quamar Gibson,1653,61,0,04/10/23
198B834E-ABAB-68B8-57AB-89D958C48345,Jennifer Mccormick,1900,93,1,02/06/23
D3BAE54C-896F-3ECB-1BD9-4623122EC614,Brennan Kane,1415,88,0,08/11/22
58B11395-5E53-C457-83CE-558EE1F828A7,Joseph Joyner,1626,89,0,09/08/22
0B7012EB-6740-CEA2-E9CA-8F2BD7753015,Kiara Padilla,1913,66,0,02/19/23
491B3B4A-C96B-622B-516B-34EE1878D6E3,Kadeem Torres,1567,71,0,11/15/22
94DE79B2-6952-CB2B-3621-CE550978111C,Galena Sharpe,1265,97,0,08/11/22
64C0895F-DABD-A03A-9DB3-58FABA4DBF14,Erica Meadows,1947,65,0,12/05/22
9A3AB44B-9D9C-55A3-3B4A-59592AE9D4E6,Zephania Petty,1647,95,1,04/23/23
ACB7334E-8D91-20B7-F190-5AE8F8AD8108,Ivory Dennis,1956,92,1,11/01/22
5D12DAC9-1CAE-B512-6641-CF93056B78EA,Venus Newton,1009,80,0,08/17/22
D7A09DC7-339D-7352-34A1-1B53CAB6728B,Melvin Larson,1574,78,0,10/21/22
9BE8F917-4882-C2EE-46D2-85A275B6F791,Graham Murphy,1808,89,1,11/15/22
DA8556CE-F133-57D2-5AB8-37D561B49BFE,Cassandra Chan,1146,71,0,11/09/22
9A576FC3-4A1E-7722-3BD4-81541CCA32E9,Ina Bell,1502,83,0,09/13/22
05EA4432-2158-8D50-5904-441A5CA2C555,Hedley Howell,1203,71,0,10/13/22
174C96C5-473E-5CA0-398D-553DDD3BABAF,Sean Winters,1727,80,1,06/05/23
176AD2EC-D44C-1243-183B-DA46FC2DDF65,Gannon Boyd,1366,72,0,03/21/23
A3CA8B99-9516-1A28-E859-54245A009923,Candace Lester,1054,70,1,08/17/22
CE3E9069-6181-742B-617F-FC657587B2A4,Lester Shelton,1397,76,0,06/06/23
9A9172A8-36ED-A9B9-A348-8BD192ACE985,Keane Morgan,1465,68,0,09/15/22
12215D95-71D8-F99A-3F40-795E8A883951,Donovan Silva,1997,63,1,04/23/23
1F328A08-30F1-E9E1-11B3-8888E35F69BC,Angelica Whitehead,1473,67,1,09/05/22
EBB4DEAC-7481-0EA7-ACB6-D767B04A1E45,Amir Jacobson,1346,91,0,06/13/23
77A54B86-3FF4-8273-DAEC-D25B0831282E,Katelyn Sims,1997,83,1,05/25/23
A9CE8A0E-FAC6-3A8B-34EC-A5644FAA1FEB,Jonas Lloyd,1135,73,1,12/02/22
252222FD-864D-D1BD-7A5E-D96CDE6D194A,Dexter Bennett,1813,72,0,07/04/23
5F2BBE22-996B-4FF8-4518-868574455694,Mia Mcfadden,1984,70,1,10/03/22
907BFD4C-69E6-B153-C360-667C0095BA03,Sonya Gibbs,1038,99,1,04/26/23
4B8BCB41-2F69-18BC-D256-9B3B873BECA4,Alexander Mann,1425,99,1,12/16/22
678EC7CA-0273-5A93-C32A-8D62D3752C47,Illana Lawson,1679,98,0,06/17/23
BFB82E4B-A9F3-A6CB-658A-75761A8848C0,Victor York,1502,95,1,03/22/23
46853DCE-CD52-3EDD-F47D-A49BAB2B7918,Barbara Vance,1172,92,0,06/08/23
5BDCFCAC-656D-5E46-D4A9-8824CD2EC7C1,Mia Shaw,1015,75,0,09/29/22
26BEC753-B693-96A6-F743-C2A8B39CEB69,Renee Pickett,1346,83,0,03/15/23
C5A4124A-9CCC-A64C-7A16-DCE429EA8AAF,Ima Acevedo,1303,89,0,04/02/23
DEFC5671-D062-8C97-D6EE-BB181DB2F120,Jade Fletcher,1094,98,1,08/17/22
C8C64463-5A56-A7A5-3B63-830E5BFD083B,Amery Cannon,1416,62,0,01/21/23
1AD9E6D3-B182-A58E-A9BD-C031492CE0B4,Tanisha Fitzgerald,1936,76,0,09/03/22
1B4D439E-7D0F-16EE-EBE8-5D3C31FC344E,Clementine Mckee,1414,64,1,08/08/22
EE86E711-AE1F-225A-B0F3-D8596E850729,Petra Flynn,1981,85,1,05/13/23
DD9CCCD1-79A8-38D0-92D0-886188E8A0D5,Alan Silva,1249,82,1,05/17/23
D30A2A9F-4505-969A-8C49-1487311D2FAF,Kevyn Booker,1375,96,0,04/14/23
44E2D1DE-9EE9-C6F1-8432-0CCDD9E9DD18,Emerson Vincent,1083,96,1,04/05/23
CDEC4445-3E3B-1322-2752-5306B4DCA9D4,Shelby Herman,1969,83,0,02/11/23
D7AECC89-F818-8CF7-38E8-BADFC66C1493,Kelly Fuller,1107,96,0,01/25/23
D77343FD-B2D2-63AC-3277-DCC95392DC3C,Adele Knowles,1396,99,1,09/13/22
67ADA0B6-193E-5D64-8C01-166BB3D24B66,Declan Bauer,1921,92,0,12/04/22
8E97A6C6-7149-8163-95BA-57E785473CE1,Benedict Adkins,1545,83,1,03/28/23
5D8A0A46-4FCE-95D6-E7EE-574666B282D5,Idola Hayes,1101,96,0,11/08/22
9A1D2DBE-D4B9-B1FD-35A7-E178BDE61C59,Tanya Gallegos,1260,76,1,01/12/23
97B09E5A-1EAF-6B52-7A48-311EE6186DB5,Kadeem Banks,1396,84,0,09/26/22
2D286646-D6B8-ADED-C7A9-A1368F42DDAD,Keiko Knapp,1452,65,0,11/26/22
BD8378D8-28A8-9441-6534-C1497AD14ECE,Karyn Blake,1197,80,1,09/03/22
9E20A883-3AAF-C49E-4C38-53DCB45AA323,Jaime Payne,1237,80,1,04/03/23
CA924E22-4C42-12B4-05F3-1E3DE84DE237,Jade Schneider,1145,80,0,09/23/22
D722287A-9B7C-67BA-F8DA-5208AE0DDDA4,Rogan Beck,1139,98,0,07/10/23
2EABBED9-1C03-38AB-3B35-321831BA49EB,Declan Gilliam,1503,74,1,03/29/23
9BFC726C-2E2A-E349-C161-3C5CE5E922B0,Branden Kirk,1688,91,1,04/16/23
F2B9189D-0C96-96F4-0646-2521ED9EAC99,August Gibson,1771,81,0,09/17/22
71CB99D8-A9E0-F62C-B78D-018BB1D5372E,Macaulay Parks,1971,61,0,01/12/23
66E476B8-E4E4-781B-5C8D-448988515DA2,Lillian Rios,1295,71,1,11/19/22
14085B71-A2F3-3535-BBC3-12D9ADAD95B2,Lee Farmer,1074,85,0,04/19/23
D51B4D38-C242-1662-6A7C-E329D9121FB1,Chanda Mcneil,1202,70,1,03/16/23
BE51955E-5E73-1472-D728-9641CDE42C85,Kennedy Prince,1439,88,1,04/20/23
6B1438DA-6A69-325A-3C63-8456B44A4C93,Lysandra Nichols,1733,93,1,09/07/22
EEFAAD6A-4441-1C52-7AEA-F404676BB8AD,Ima Parker,1247,84,0,01/05/23
758DD7EE-357C-5B51-2363-4739C9A54583,Walter Lamb,1213,65,1,12/23/22
317291DC-2555-DD4C-C47F-36451A94EC40,Jerry Willis,1742,72,0,09/04/22
CEFEE34C-E637-480D-6DF7-57BB399244A7,Ria Carney,1352,82,0,04/27/23
135CCCB4-8AF4-6ABF-B5EF-120E43821CAA,Megan Cannon,1781,98,0,08/08/22
D023201E-4048-DA53-D24B-D609C74413B1,Joan Conley,1336,69,1,12/14/22
E5172116-E15D-2B93-94E6-0693FED4B333,Diana Barrera,1906,99,1,11/15/22
DE2CD1D1-4481-4212-8387-5AAB4E838565,Whoopi Lester,1315,96,0,11/11/22
32D34D38-8B29-3189-6768-C4D564B8D2D8,Jessamine Mays,1888,62,1,02/15/23
61FD0E11-6A47-D87F-48DF-B67399D6F7D2,Stacey Keller,1096,81,0,05/11/23
D2D31C0F-1665-91EE-ADAE-5C91DCB909E0,Akeem Mckay,1435,96,0,09/04/22
28E4B32C-CE3C-D2C2-E0B4-96E6016DF4C9,Davis Webster,1648,84,0,07/20/23
B8DB16E3-32A7-1478-3A27-508263444701,Fritz Coleman,1189,98,1,03/13/23
AD2A5DE5-542E-61A6-A22A-E91B98349321,Bevis Cochran,1419,71,0,11/30/22
16132D2F-4526-C9E9-63A6-BC77808D00EB,Rafael Leonard,1720,72,0,04/27/23
94A6B2F2-3B4B-B746-E2E9-E187F68778C8,Kirk Diaz,1757,97,0,09/20/22
CCC092EA-D8D7-9CAA-7823-B31C3C601899,Leah Heath,1220,79,0,12/31/22
7100BE8C-CC7A-F4FD-ADBE-875ED7E9D412,Ira Mann,1579,64,1,01/04/23
826614BF-39E2-EB68-7B8C-678572937567,Cailin Gutierrez,1812,92,1,01/02/23
90C020F7-6AC3-AFDA-6549-ACD5F9232882,Kieran Howe,1705,62,1,04/26/23
F8C32478-06CD-46E0-CC25-786A6970841B,Preston Mooney,1544,62,0,02/17/23
AA2D45B1-9897-EC48-A7D3-673266FD7207,Cameron Mullins,1287,68,1,12/07/22
33443887-44DD-7A8D-9B0B-3B951971D233,Olga Delaney,1006,68,1,05/17/23
246D0986-87E2-CDEF-E9F1-E4C62D6F59F7,Jessica Alvarado,1567,62,0,06/17/23
CB066048-B311-67D4-8D51-3352987AD9EB,Dolan Mcmahon,1495,70,1,04/09/23
AC762859-6382-939A-A14A-C9B2747FE52A,Xyla Baldwin,1975,82,0,03/07/23
AB687DED-187A-C190-3BE7-2154F819117A,Candace Sexton,1047,86,0,02/19/23
1672261B-D844-0D68-9AC5-A842BEC2DA4B,Bruno Chen,1624,85,1,05/20/23
BEEEBFE5-E633-8B97-77A9-3CA997868F51,Andrew Burris,1890,98,1,05/11/23
B44E9C16-E1B8-E2BC-4C7B-7D3CE2669DA8,Rae Crawford,1304,71,1,06/25/23
922582B3-7935-702B-2412-1DD3C378B1D6,Audrey Spence,1780,82,0,03/29/23
98C90CBB-A622-8A0F-5185-BCB287DE7A4F,Quail Clemons,1414,74,1,03/14/23
5761B4CC-2BCA-E61E-D8F4-CFD01C9D9561,Astra Frye,1258,80,0,05/23/23
F7FB4BD3-CD6B-5787-D478-4F72B41D6CE4,Ali Mcgee,1461,85,0,09/14/22
39C74F89-4963-0798-651C-09F6FF15D53E,Nash Benton,1953,62,1,03/16/23
CAB47D15-91CE-94BC-5A9E-4C7EACBD22FA,Eagan Dalton,1175,89,1,09/03/22
F25B8C98-B0F4-8F85-8A69-097AB39968A8,Cecilia Lamb,1585,77,0,02/24/23
2AA2B537-3C95-4BB3-7D41-17881822C72A,Larissa Warren,1363,90,0,07/18/23
AAA14135-B3A1-A700-B1BA-6D887B681B3E,Raphael Strong,1399,61,1,03/29/23
A2DACB8E-AAA9-C441-7234-D302A8F93D5A,Ainsley Rowland,1861,80,1,01/25/23
4E445F29-3DCC-F13F-B536-DCD88C54C4AC,Amal Solis,1196,74,0,06/17/23
E7D3F431-8D36-8603-952B-1E8C96BB55C8,Justin Browning,1462,76,0,02/13/23
0E965261-649F-B5D2-6596-C5CD71AB0B11,Lee Ewing,1849,65,0,04/08/23
47E4AC1B-2DCC-0BE9-385D-6839D6177E6D,Eleanor Sheppard,1000,94,0,12/26/22
185AAB6A-1588-C4E6-6CAA-73EAEAEEE9BD,Raven Owen,1131,97,1,07/25/23
4F895A84-E214-ACBD-BB9E-E756072951AE,Armando Moran,1900,92,0,09/12/22
AF676735-39FF-0CC7-8773-3B907E265B6D,Eaton Skinner,1093,88,0,07/10/23
70772708-70BB-0A63-A54E-AC42C7F798E3,Risa Gutierrez,1881,75,1,08/03/22
6215BA5C-6981-7352-2DB9-FB9C6E5BE186,Ashton Davis,1838,92,1,05/05/23
8DF2681C-136D-8A99-DD36-43A228F69021,Nora Garrison,1715,86,0,03/19/23
C2CE3498-5326-A225-54D1-2A3EE35D976E,Neil Hopper,1443,94,1,02/21/23
0E6344E5-734A-6B3D-C62E-B5EDD2B31FE6,Jane Britt,1448,64,1,02/04/23
2626239C-13E1-E127-F133-32E72639BA7B,Raphael Walker,1804,94,1,05/18/23
246D7D12-5C85-242D-A4BB-5B865BB184E2,Jane Mcfarland,1517,93,0,06/17/23
EDD20EE1-97E0-14AE-E20C-56D70CCFABB3,Nadine Brown,1678,92,1,03/14/23
EA89BCC9-6D1B-FA1C-36FE-3C9CDE47A24E,Darius Avila,1050,76,1,05/12/23
B84BCE09-1F16-2873-8B6A-45EF69E847A1,Madaline Calhoun,1246,87,1,04/30/23
0EC8B698-C837-DEA7-881D-E523A5C2C52A,Pearl Mills,1138,87,0,08/21/22
4C89C767-B8CD-2771-959C-69B111CEC42D,Ursula Ballard,1462,95,0,09/27/22
73264543-708C-CB38-E495-963E3D88214E,Keane Hernandez,1902,66,0,06/01/23
11636A8C-4752-237B-0FA8-DEC1D1B992AE,Shannon Trujillo,1973,86,0,01/13/23
E36B2524-2929-43FB-D1F1-D53B38FE3BF2,Ivor Marquez,1835,95,1,01/07/23
11348387-1C97-1CA0-FF38-D448AD246606,Brendan Myers,1355,87,1,04/08/23
6D1AB4D4-D638-B4E3-9BAC-7CC6C49EC4AA,Liberty Rush,1435,97,1,02/25/23
E772B2C8-A072-D9E6-5E5E-338BD203E22A,Daphne Rush,1814,73,0,01/22/23
EA7DBAA1-7E77-5B89-37BA-CEB8E1A97531,Harper Higgins,1784,65,0,03/23/23
AC3B3C4B-1F54-3982-EC06-A81CD5855A78,Hollee Barber,1044,82,1,02/20/23
A6CF978C-8E5F-CD94-1BA7-ABE2D280C334,Wallace Beasley,1173,71,0,04/14/23
54DC135A-7734-53F1-93DB-AA316F1DE477,Abel Pope,1512,98,0,11/01/22
14E42EAD-D6A0-06D2-E0F7-E6BB338BF892,Daphne Nicholson,1344,99,0,05/24/23
66EF2D19-ED6D-5A54-BA4F-5637E6E2EEC5,Whitney Vaughn,1232,62,1,05/08/23
41B324B9-8838-E3A9-3845-B47FF45CBA17,Sonya Bird,1374,76,1,08/13/22
437C3428-26DD-04F0-9FDD-272E51A57EF8,Echo Thompson,1774,78,0,03/17/23
DB62B779-6DAD-6D61-8198-DD7ED315DB39,Sophia Buchanan,1751,72,0,09/16/22
81B95B61-6EA9-26BD-D584-7CBDBCA44F8A,Macy Buckley,1982,71,0,02/20/23
BADA6A36-4E72-629B-A9D6-68669C6C1BDB,Cullen Roth,1505,79,1,07/17/23
EB427C83-0687-C3B5-A46B-D9D2B8A71D25,Kelsie Wright,1119,81,0,06/28/23
0AB54934-6EA3-E8B2-BD5B-5CC3D9C55355,Amethyst Porter,1852,83,1,06/11/23
CBBED63D-9885-62EB-3423-3872C949CABD,Piper Sanford,1722,92,0,12/09/22
16549E89-D10A-46D8-EB76-721E5468EDBA,Benedict Flores,1447,63,1,02/05/23
323CE457-FF62-4A79-C74B-D26D41E923EF,Kato Thornton,1685,93,0,06/10/23
4CAC7727-9634-5F42-3F14-856E985B8581,Paul Knapp,1400,63,1,12/06/22
4C8CA396-68CC-14AE-612B-A43430067339,Cara Brewer,1190,89,0,02/22/23
CE118EFE-CB59-AD49-B961-8526D63EB38A,Mariko Reed,1612,72,0,07/29/23
BD909819-58AE-979A-302D-7436A22592A9,Akeem May,1618,97,0,09/02/22
26E1B001-2E75-22F1-DD15-E91B60246DAD,Florence Davidson,1051,99,0,07/05/23
D9CD7648-889A-9612-6488-A7E518A392D0,Rina Austin,1884,86,0,01/23/23
6139DA31-8B67-A895-1BE1-588A46815E94,Gretchen Sanford,1884,85,0,08/11/22
918A3FFA-7A7C-6916-6D93-3C37D34418B9,Ulysses Frederick,1855,83,1,10/27/22
1B74F82F-EBA3-C4C7-BA87-768D32395923,Craig Holder,1463,91,1,04/14/23
45074F88-7A5C-512F-9D76-461418FAA9C0,Hayes Cochran,1453,99,0,08/07/22
9C50A6B9-1840-D40A-C971-9CAD3C6DCA96,Marny Flores,1023,98,0,10/10/22
DF0BCDDC-72E5-647E-DB71-EA7885136AE7,Brynn Duran,1620,89,0,06/15/23
F82C2E63-253C-F056-893C-74B2D161578A,Gannon Paul,1161,66,1,06/12/23
78A1644F-8DAD-6DF7-AC1D-612397863BDF,Wade Lindsay,1643,96,0,01/02/23
51356C92-DE49-B42C-2D13-736A58D26542,Ruby Knox,1791,77,0,04/17/23
A2C39BE7-42CA-F36C-6D13-DC264A5E1B1B,Azalia Rosa,1681,86,0,12/13/22
B481A111-240C-B9AA-9F58-4D78CFBCC827,Rashad Sharpe,1749,67,1,09/26/22
F5F71647-5043-264B-390E-44AEBCE18802,Adam Bennett,1575,98,1,01/03/23
C9667CE1-DEB9-C0D7-A157-2B681C907DCF,Preston Shaffer,1727,83,0,08/22/22
816A3CBA-EA6B-537C-BFD5-5BEE59792391,Henry Joyce,1020,63,0,12/02/22
9C698D4A-FCCA-AC28-8C23-69B19E8EC9B9,Howard Beck,1196,63,0,12/26/22
12B1768D-04A8-F265-FE61-7DE3D95A58B9,Georgia Horne,1424,85,0,01/26/23
502BBD22-2D9E-ACCC-0A59-A5917642E9DA,Phillip Christensen,1734,74,1,02/23/23
A80C7DBB-67C6-72A2-1D77-3E3B8289217A,Wayne French,1604,65,0,07/16/23
C2B3A91D-B57A-7963-6195-65FEACC15CAC,Anika Park,1613,94,0,11/07/22
3286147D-D8B3-BCA9-0066-06FCFED30E1F,Colette Hogan,1016,63,1,12/13/22
1306AAD6-7C10-49FD-BB7B-7BA27178850A,Anastasia Holcomb,1223,66,1,04/14/23
17261CCC-A316-AE27-8E8A-D15C26D34E55,Lisandra Hart,1288,66,1,02/19/23
123CAE21-BE5C-4B1D-905E-3B2F5989896A,Ray Santana,1196,78,0,01/30/23
6538C6B6-36DF-4C75-41D6-6378C24F3410,Darryl Durham,1294,100,0,03/01/23
D6C39182-0F90-BA9D-86F3-C4CDA6A2C683,Joshua Gallegos,1489,92,0,06/25/23
EDB427B1-E3B6-9F88-47A7-68C1D1304B43,Wyoming Daugherty,1496,80,1,04/28/23
58F55135-E296-1797-C2E5-25A1E45B061D,Donovan Thomas,1636,84,1,02/21/23
B9536BBA-5D85-CA7E-D4D3-C6E0EC1145A3,Ivor Fox,1389,70,1,05/16/23
3EE88E40-755C-5CA9-E7BA-0A9B0F99B9C2,Ahmed Guy,1709,77,1,12/01/22
3852B8BC-C163-414A-3E82-9E2C4A276204,Ashely Fisher,1756,73,0,11/21/22
B457C955-9A16-849C-73B1-7674CBBFCC1E,Allegra Walls,1838,73,1,05/09/23
4EE351B9-7D1A-E8E9-B186-E2B0AC1B2929,Carson Green,1153,65,0,07/29/23
85242CCE-896F-5ED0-6827-F7442A83B580,Quinn Nelson,1351,86,0,11/13/22
BAC2A9F1-3D0A-6138-6516-E45EF41C9CA2,Allegra Goodwin,1272,67,1,11/30/22
9A0F862C-5C32-66D7-A114-2369B98D5D29,Aurora Johnston,1508,96,0,09/07/22
CABC4D98-4EC1-DBC2-C046-99BFC1B9138D,Jermaine Crane,1038,99,0,11/20/22
9D958373-188E-1B66-CED6-A9764349D4AA,Farrah Cain,1081,74,0,05/24/23
1282C1A2-95E9-5215-DE93-3A48281665DA,Lewis Mcgee,1153,81,1,10/14/22
13853486-AE5A-ACAE-D181-1A9BAD68E0B1,Thomas Acevedo,1312,75,0,10/10/22
D3ABFB92-838F-8A65-4689-7B4E1777375D,Nichole Lamb,1919,90,1,09/08/22
348822DA-110A-31EE-AA3E-D0B6054F7AE0,Travis Austin,1225,80,1,04/04/23
5EA5D1B3-B161-DA70-3BEF-65DB7AE55DB7,Sybil Moon,1717,78,0,03/16/23
E4333412-F3D6-E4B6-BA26-AA522AE6EFDA,Shoshana Roy,1122,79,1,02/07/23
